user_id,Time,Amount,Class
1038,206,13.69,0
1028,854,7.83,0
1014,2568,33.61,0
1042,2693,212.2,0
1007,2695,13.86,0
1020,3561,55.76,0
1038,3748,71.69,0
1018,5258,13.57,0
1022,5530,65.14,0
1010,6776,22.93,0
1010,6910,50.03,1
1023,7392,50.19,0
1035,8110,38.37,0
1039,8392,4.73,0
1023,9474,90.18,0
1002,10965,19.34,0
1021,12666,10.32,0
1001,13545,2.08,0
1023,13986,44.69,0
1043,15707,56.59,0
1029,18047,0.84,0
1037,18141,35.88,0
1001,21834,12.84,0
1020,21959,51.81,0
1032,21976,9.58,0
1011,22299,58.71,0
1021,22662,24.45,0
1043,23419,138.02,0
1024,23664,7.4,0
1048,23776,20.86,0
1026,24538,6.02,0
1041,25939,129.31,0
1027,26105,104.92,0
1015,26736,14.92,0
1014,26854,53.94,0
1046,27266,84.97,0
1043,30080,40.51,0
1002,30535,37.71,0
1036,33159,13.84,0
1006,33827,4.89,0
1020,34766,113.76,0
1008,35222,115.34,0
1038,38623,50.13,0
1017,38660,20.7,0
1003,39353,21.48,0
1024,39504,64.72,0
1013,42557,113.7,0
1049,42941,109.06,0
1008,43585,75.68,0
1025,44262,51.37,0
1001,46576,4.39,0
1019,48190,8.81,0
1027,48925,114.41,0
1046,49080,46.62,0
1006,50015,0.46,1
1043,50636,5.35,0
1007,51005,54.46,0
1046,52251,0.25,0
1034,52256,8.77,0
1013,52733,39.78,0
1016,52992,58.87,0
1035,54268,52.77,0
1049,54384,12.7,1
1039,55016,62.27,0
1003,55680,13.54,0
1001,55820,19.68,0
1005,56044,68.62,0
1041,58053,52.44,0
1003,61087,94.6,0
1028,61373,53.59,0
1017,61858,42.0,0
1025,62003,4.92,0
1043,62592,22.92,0
1033,62623,15.41,1
1009,63335,13.99,0
1035,64044,180.62,0
1013,64505,24.97,0
1030,65318,111.3,0
1047,66199,49.87,0
1014,66842,79.19,0
1007,67172,34.92,0
1013,67214,43.01,0
1022,67563,33.91,0
1039,68840,10.86,0
1020,69163,64.09,0
1015,70592,16.48,0
1044,71910,1.23,0
1017,73530,51.85,0
1046,75450,9.75,0
1023,75766,141.05,0
1025,77373,153.88,0
1024,78603,123.18,0
1044,79309,23.11,0
1040,79575,0.78,0
1028,80356,131.78,0
1014,81734,27.95,0
1044,82948,170.04,0
1000,83211,165.69,0
1024,84651,95.87,0
1006,85616,17.44,0
